 ,Area,Mean,Min,Max,Angle,Length
1,0.002,112.967,94.840,147.570,-79.992,0.313
2,0.002,84.001,38.000,99.888,-9.090,0.306
3,0.002,118.066,105.810,153.000,-85.914,0.254
4,7.302E-5,99.167,98.667,99.667,-90.000,0.006
5,0.004,109.272,83.341,215.885,-76.373,0.616
6,0.004,90.088,78.922,99.340,0.562,0.616
7,0.003,104.884,87.970,137.368,-82.569,0.561
8,0.003,91.324,80.545,134.000,4.038,0.515
9,0.001,106.925,100.075,112.933,-85.711,0.242
10,0.004,92.780,77.667,111.720,-1.146,0.604
11,0.002,108.585,80.429,161.333,-89.091,0.381
12,0.003,98.286,78.914,156.333,-5.377,0.516
13,0.002,86.652,82.780,102.667,-83.541,0.322
14,2.190E-4,115.278,110.333,118.667,0.000,0.030
15,0.004,102.734,91.232,117.000,-87.374,0.659
16,0.002,103.993,94.961,144.333,-3.991,0.260
17,0.004,98.964,84.308,197.000,4.399,0.709
18,0.004,100.830,80.333,130.000,-85.956,0.600
19,0.003,103.863,96.667,142.988,-86.468,0.490
20,0.004,121.037,101.000,154.333,7.667,0.634
21,0.004,97.912,91.865,146.667,-88.968,0.671
22,0.006,107.631,87.647,217.523,4.485,0.927
23,0.004,108.814,99.586,139.062,-79.095,0.671
24,0.003,104.221,95.023,130.667,5.906,0.528
25,0.002,115.536,107.333,150.000,-83.089,0.402
26,0.003,104.805,99.000,119.667,4.145,0.418
27,0.003,117.702,108.101,153.667,-92.261,0.460
28,3.651E-4,138.333,113.667,185.667,0.000,0.054
29,0.002,120.845,106.710,154.667,-83.558,0.377
30,0.003,118.194,101.130,138.000,3.318,0.418
31,0.003,103.596,90.667,152.667,-88.386,0.429
32,7.302E-5,172.000,169.667,174.333,0.000,0.006
33,0.002,116.885,107.132,179.000,-82.057,0.262
34,1.825E-4,135.867,97.000,169.000,0.000,0.024
35,0.002,95.584,72.470,124.000,-93.752,0.369
36,4.016E-4,136.112,117.833,168.333,-5.711,0.061
37,0.014,103.791,79.388,150.000,83.928,2.285
38,0.009,112.793,48.849,204.006,-0.221,1.565
39,0.020,109.950,86.341,218.294,-120.317,3.304
40,0.011,116.736,105.333,168.333,-0.579,1.795
